file,vulnerable_length,baseline_length,hinted_length,vulnerable_lines,baseline_lines,hinted_lines,vulnerable_tokens,baseline_tokens,hinted_tokens,baseline_length_change,hinted_length_change,baseline_line_change,hinted_line_change,baseline_token_change,hinted_token_change,bleu_vulnerable_to_baseline,bleu_baseline_to_hinted
CWE114_Process_Control__w32_char_connect_socket_81_bad.cpp,601,1016,1116,24,21,43,74,164,157,415,100,-3,22,90,-7,0.3452,0.0018
CWE114_Process_Control__w32_char_connect_socket_82_bad.cpp,595,1370,784,24,32,30,73,209,92,775,-586,8,-2,136,-117,0.3104,0.0005
CWE122_Heap_Based_Buffer_Overflow__cpp_CWE129_connect_socket_81_bad.cpp,769,477,785,31,19,31,119,123,126,-292,308,-12,12,4,3,0.0013,0.0364
CWE122_Heap_Based_Buffer_Overflow__cpp_CWE129_connect_socket_82_bad.cpp,763,557,779,31,22,31,118,93,125,-206,222,-9,9,-25,32,0.0004,0.0419
CWE123_Write_What_Where_Condition__connect_socket_81_bad.cpp,444,604,528,14,21,18,45,79,62,160,-76,7,-3,34,-17,0.5309,0.5712
CWE123_Write_What_Where_Condition__connect_socket_82_bad.cpp,438,604,497,14,18,17,44,62,53,166,-107,4,-1,18,-9,0.712,0.7194
CWE126_Buffer_Overread__char_alloca_loop_81_bad.cpp,553,34,982,23,1,28,104,10,185,-519,948,-22,27,-94,175,0.0,0.0
CWE126_Buffer_Overread__char_alloca_loop_82_bad.cpp,548,1041,545,23,18,23,103,239,103,493,-496,-5,5,136,-136,0.3374,0.2108
CWE127_Buffer_Underread__char_alloca_cpy_81_bad.cpp,413,432,420,17,18,17,70,77,76,19,-12,1,-1,7,-1,0.887,0.8326
CWE127_Buffer_Underread__char_alloca_cpy_82_bad.cpp,407,426,414,17,18,17,69,76,75,19,-12,1,-1,7,-1,0.8855,0.8303
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_81_bad.cpp,347,164,418,11,8,13,31,47,53,-183,254,-3,5,16,6,0.263,0.4769
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_82_bad.cpp,341,550,489,11,24,19,30,107,86,209,-61,13,-5,77,-21,0.2009,0.486
CWE15_External_Control_of_System_or_Configuration_Setting__w32_81_bad.cpp,456,583,1011,16,20,32,51,88,139,127,428,4,12,37,51,0.0,0.0
CWE15_External_Control_of_System_or_Configuration_Setting__w32_82_bad.cpp,449,467,811,16,20,32,50,67,131,18,344,4,12,17,64,0.5945,0.0002
CWE176_Improper_Handling_of_Unicode_Encoding__w32_81_bad.cpp,566,329,707,16,9,21,79,60,92,-237,378,-7,12,-19,32,0.5395,0.5993
CWE176_Improper_Handling_of_Unicode_Encoding__w32_82_bad.cpp,560,364,757,16,12,21,78,59,94,-196,393,-4,9,-19,35,0.4274,0.6518
CWE191_Integer_Underflow__char_fscanf_multiply_81_bad.cpp,366,341,388,15,13,15,43,41,52,-25,47,-2,2,-2,11,0.804,0.7
CWE191_Integer_Underflow__char_fscanf_multiply_82_bad.cpp,360,315,358,15,14,15,42,42,43,-45,43,-1,1,0,1,0.3528,0.3745
CWE194_Unexpected_Sign_Extension__connect_socket_malloc_81_bad.cpp,571,1097,589,19,18,19,89,217,98,526,-508,-1,1,128,-119,0.3208,0.2076
CWE194_Unexpected_Sign_Extension__connect_socket_malloc_82_bad.cpp,565,360,619,19,15,20,88,88,102,-205,259,-4,5,0,14,0.7089,0.6067
CWE195_Signed_to_Unsigned_Conversion_Error__connect_socket_malloc_81_bad.cpp,598,388,592,19,15,19,89,85,85,-210,204,-4,4,-4,0,0.5884,0.6084
CWE195_Signed_to_Unsigned_Conversion_Error__connect_socket_malloc_82_bad.cpp,580,629,752,19,20,24,88,96,107,49,123,1,4,8,11,0.8204,0.0677
CWE197_Numeric_Truncation_Error__int_connect_socket_to_char_81_bad.cpp,392,1574,402,14,43,14,38,280,41,1182,-1172,29,-29,242,-239,0.0554,0.0051
CWE197_Numeric_Truncation_Error__int_connect_socket_to_char_82_bad.cpp,385,465,555,14,17,21,37,56,63,80,90,3,4,19,7,0.5888,0.5949
CWE23_Relative_Path_Traversal__char_connect_socket_fopen_83_bad.cpp,2918,1249,3071,107,48,99,436,206,488,-1669,1822,-59,51,-230,282,0.0002,0.0151
CWE23_Relative_Path_Traversal__char_connect_socket_fopen_84_bad.cpp,2906,1310,3014,107,48,97,436,175,458,-1596,1704,-59,49,-261,283,0.1929,0.3339
CWE256_Plaintext_Storage_of_Password__w32_char_81_bad.cpp,793,666,771,30,24,29,87,104,103,-127,105,-6,5,17,-1,0.0,0.0543
CWE256_Plaintext_Storage_of_Password__w32_char_82_bad.cpp,788,2203,1741,30,22,56,86,361,275,1415,-462,-8,34,275,-86,0.0,0.0
CWE259_Hard_Coded_Password__w32_char_81_bad.cpp,831,1297,887,32,41,32,98,98,100,466,-410,9,-9,0,2,1.0,0.501
