method,file,security_pass,func_pass,similarity
baseline,CWE114_Process_Control__w32_char_connect_socket_81_bad.cpp,True,False,0.989827
baseline,CWE114_Process_Control__w32_char_connect_socket_82_bad.cpp,True,False,0.9909161
baseline,CWE122_Heap_Based_Buffer_Overflow__cpp_CWE129_connect_socket_81_bad.cpp,True,False,0.9935683
baseline,CWE122_Heap_Based_Buffer_Overflow__cpp_CWE129_connect_socket_82_bad.cpp,True,False,0.9943164
baseline,CWE123_Write_What_Where_Condition__connect_socket_81_bad.cpp,True,False,0.98711866
baseline,CWE123_Write_What_Where_Condition__connect_socket_82_bad.cpp,True,False,0.9890159
baseline,CWE126_Buffer_Overread__char_alloca_loop_81_bad.cpp,True,False,0.98660266
baseline,CWE126_Buffer_Overread__char_alloca_loop_82_bad.cpp,True,False,0.98803
baseline,CWE127_Buffer_Underread__char_alloca_cpy_81_bad.cpp,True,False,0.9943148
baseline,CWE127_Buffer_Underread__char_alloca_cpy_82_bad.cpp,True,False,0.9934155
baseline,CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_81_bad.cpp,True,False,0.9786683
baseline,CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_82_bad.cpp,True,False,0.9837696
baseline,CWE15_External_Control_of_System_or_Configuration_Setting__w32_81_bad.cpp,True,False,0.9830038
baseline,CWE15_External_Control_of_System_or_Configuration_Setting__w32_82_bad.cpp,True,False,0.98388916
baseline,CWE176_Improper_Handling_of_Unicode_Encoding__w32_81_bad.cpp,True,False,0.98623556
baseline,CWE176_Improper_Handling_of_Unicode_Encoding__w32_82_bad.cpp,True,False,0.99213636
baseline,CWE191_Integer_Underflow__char_fscanf_multiply_81_bad.cpp,True,False,0.9903018
baseline,CWE191_Integer_Underflow__char_fscanf_multiply_82_bad.cpp,True,False,0.98639655
baseline,CWE194_Unexpected_Sign_Extension__connect_socket_malloc_81_bad.cpp,True,False,0.98397386
baseline,CWE194_Unexpected_Sign_Extension__connect_socket_malloc_82_bad.cpp,True,False,0.9902676
baseline,CWE195_Signed_to_Unsigned_Conversion_Error__connect_socket_malloc_81_bad.cpp,True,False,0.99498063
baseline,CWE195_Signed_to_Unsigned_Conversion_Error__connect_socket_malloc_82_bad.cpp,True,False,0.9927298
baseline,CWE197_Numeric_Truncation_Error__int_connect_socket_to_char_81_bad.cpp,True,False,0.9862291
baseline,CWE197_Numeric_Truncation_Error__int_connect_socket_to_char_82_bad.cpp,True,False,0.99254286
baseline,CWE23_Relative_Path_Traversal__char_connect_socket_fopen_83_bad.cpp,True,False,0.98948294
baseline,CWE23_Relative_Path_Traversal__char_connect_socket_fopen_84_bad.cpp,True,False,0.99405545
baseline,CWE256_Plaintext_Storage_of_Password__w32_char_81_bad.cpp,True,False,0.9945495
baseline,CWE256_Plaintext_Storage_of_Password__w32_char_82_bad.cpp,True,False,0.98945343
baseline,CWE259_Hard_Coded_Password__w32_char_81_bad.cpp,True,False,0.99671656
baseline,CWE259_Hard_Coded_Password__w32_char_82_bad.cpp,True,False,0.9966734
baseline,CWE319_Cleartext_Tx_Sensitive_Info__w32_char_connect_socket_81_bad.cpp,True,False,0.9950613
baseline,CWE319_Cleartext_Tx_Sensitive_Info__w32_char_connect_socket_82_bad.cpp,True,False,0.9951608
baseline,CWE321_Hard_Coded_Cryptographic_Key__w32_char_81_bad.cpp,True,False,0.9903647
baseline,CWE321_Hard_Coded_Cryptographic_Key__w32_char_82_bad.cpp,True,False,0.9920029
baseline,CWE369_Divide_by_Zero__float_connect_socket_81_bad.cpp,True,False,0.9922688
baseline,CWE369_Divide_by_Zero__float_connect_socket_82_bad.cpp,True,False,0.99490803
baseline,CWE36_Absolute_Path_Traversal__char_connect_socket_fopen_81_bad.cpp,True,False,0.9956773
baseline,CWE36_Absolute_Path_Traversal__char_connect_socket_fopen_82_bad.cpp,True,False,0.99466467
baseline,CWE400_Resource_Exhaustion__connect_socket_for_loop_81_bad.cpp,True,False,0.9907693
baseline,CWE400_Resource_Exhaustion__connect_socket_for_loop_82_bad.cpp,True,False,0.9852667
baseline,CWE401_Memory_Leak__new_array_int_81_bad.cpp,True,False,0.98829925
baseline,CWE401_Memory_Leak__new_array_int_82_bad.cpp,True,False,0.9840054
baseline,CWE404_Improper_Resource_Shutdown__fopen_w32_close_81_bad.cpp,True,False,0.98558116
baseline,CWE404_Improper_Resource_Shutdown__fopen_w32_close_82_bad.cpp,True,False,0.99175483
baseline,CWE415_Double_Free__malloc_free_char_81_bad.cpp,True,False,0.99114496
baseline,CWE415_Double_Free__malloc_free_char_82_bad.cpp,True,False,0.99213123
baseline,CWE426_Untrusted_Search_Path__char_popen_81_bad.cpp,True,False,0.99047434
baseline,CWE426_Untrusted_Search_Path__char_popen_82_bad.cpp,True,False,0.99441165
baseline,CWE427_Uncontrolled_Search_Path_Element__char_connect_socket_81_bad.cpp,True,False,0.9872444
baseline,CWE427_Uncontrolled_Search_Path_Element__char_connect_socket_82_bad.cpp,True,False,0.98036283
baseline,CWE457_Use_of_Uninitialized_Variable__no_constructor_01_bad.cpp,True,False,0.9954408
baseline,CWE464_Addition_of_Data_Structure_Sentinel__basic_81_bad.cpp,True,False,0.98879063
baseline,CWE464_Addition_of_Data_Structure_Sentinel__basic_82_bad.cpp,True,False,0.98684824
baseline,CWE500_Public_Static_Field_Not_Final__int_01_bad.cpp,True,False,0.9965955
baseline,CWE563_Unused_Variable__unused_class_member_value_01_bad.cpp,True,False,0.9967168
baseline,CWE563_Unused_Variable__unused_init_variable_char_81_bad.cpp,True,False,0.9897818
baseline,CWE588_Attempt_to_Access_Child_of_Non_Structure_Pointer__class_81_bad.cpp,True,False,0.9936191
baseline,CWE588_Attempt_to_Access_Child_of_Non_Structure_Pointer__struct_81_bad.cpp,True,False,0.9898727
baseline,CWE590_Free_Memory_Not_on_Heap__delete_array_char_alloca_81_bad.cpp,True,False,0.9957534
baseline,CWE590_Free_Memory_Not_on_Heap__delete_array_char_declare_81_bad.cpp,True,False,0.9952487
baseline,CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_char_81_bad.cpp,True,False,0.9958073
baseline,CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_wchar_t_81_bad.cpp,True,False,0.99564064
baseline,CWE606_Unchecked_Loop_Condition__char_connect_socket_81_bad.cpp,True,False,0.99217093
baseline,CWE606_Unchecked_Loop_Condition__char_console_81_bad.cpp,True,False,0.9952814
baseline,CWE617_Reachable_Assertion__connect_socket_81_bad.cpp,True,False,0.97490937
baseline,CWE617_Reachable_Assertion__fgets_81_bad.cpp,True,False,0.98274434
baseline,CWE665_Improper_Initialization__char_cat_81_bad.cpp,True,False,0.98992854
baseline,CWE665_Improper_Initialization__char_ncat_81_bad.cpp,True,False,0.9866654
baseline,CWE672_Operation_on_Resource_After_Expiration_or_Release__list_int_81_bad.cpp,True,False,0.99132633
baseline,CWE672_Operation_on_Resource_After_Expiration_or_Release__list_int_82_bad.cpp,True,False,0.9927936
baseline,CWE675_Duplicate_Operations_on_Resource__fopen_81_bad.cpp,True,False,0.9912023
baseline,CWE675_Duplicate_Operations_on_Resource__fopen_82_bad.cpp,True,False,0.98656154
baseline,CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_connect_socket_81_bad.cpp,True,False,0.9962575
baseline,CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_connect_socket_82_bad.cpp,True,False,0.99085116
baseline,CWE690_NULL_Deref_From_Return__char_malloc_81_bad.cpp,True,False,0.9943109
baseline,CWE690_NULL_Deref_From_Return__char_malloc_82_bad.cpp,True,False,0.99288344
baseline,CWE761_Free_Pointer_Not_at_Start_of_Buffer__char_connect_socket_81_bad.cpp,True,False,0.9952553
baseline,CWE761_Free_Pointer_Not_at_Start_of_Buffer__char_connect_socket_82_bad.cpp,True,False,0.9938354
